Dataset,Paradigm,Silhouette (up),Davies-Bouldin (dn),Calinski-H (up),ARI (up),NMI (up),Purity (up)
GTZAN,Best-VAE,0.40382007,0.7266954230791915,753.54376,0.1617036267144976,0.37588418636119764,0.425
GTZAN,PCA + K-Means,0.16807047,1.6888029485993798,28.495378,0.3366351144096068,0.5378409224166203,0.53
GTZAN,Autoencoder + K-Means,0.22735731,1.2776146368381103,52.843918,0.3125483932100604,0.563122433476948,0.505
GTZAN,Direct Spectral,0.16186614,1.9008963284238871,25.756601,0.38486188403458044,0.6088435968634871,0.56
BanglaGITI,Best-VAE,0.39231268,0.7695562838982969,150.94067,-0.012987048460155236,0.07134339352334204,0.3
BanglaGITI,PCA + K-Means,0.10260028,2.0762224979444603,8.782712,0.0038558635210456226,0.07127015739863851,0.32222222222222224
BanglaGITI,Autoencoder + K-Means,0.1751137,1.6194439163900938,12.477751,-0.0059182503100995145,0.08829111748395055,0.32222222222222224
BanglaGITI,Direct Spectral,0.09550426,2.145507789744154,8.193003,0.0032706751480462534,0.06836300615412552,0.32222222222222224
BMGCD,Best-VAE,0.35438454,0.8023765745661805,111.279816,0.009019259234054137,0.09884804826978251,0.3229166666666667
BMGCD,PCA + K-Means,0.06883406,2.439409940809938,8.421766,0.0055253611455929495,0.07741257610691384,0.3125
BMGCD,Autoencoder + K-Means,0.1415928,1.8234468554030765,12.992036,0.050962080435870014,0.13192612802534942,0.375
BMGCD,Direct Spectral,0.09439375,2.2554365239723415,8.3907795,0.009258394048615075,0.09452668742635849,0.3333333333333333
